ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
PAL634445TA1,PANAMA 3.75% 2026-04-17 USD,3.75% NT REDEEM 17/04/2026 USD 1000 - Ser A,99.412,4.821083,4.785977,3.75,Government,2026-04-17,Panama,N,USD,2019-04-17T00:00:00Z,2025-09-25T00:00:00Z,Active
PAL63444C5A8,PANAMA 6.50% 2028-12-28 USD,6.50% BD REDEEM 28/12/2028 USD 100000,103.073,5.454209,5.382134,6.5,Government,2028-12-28,Panama,,USD,2023-12-28T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BF03,PANAMA 3.88% 2028-03-17 USD,3.875% BD REDEEM 17/03/2028 USD 200000,98.317,4.600864,4.553899,3.875,Government,2028-03-17,Panama,Y,USD,2016-03-17T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BM53,PANAMA 4.50% 2056-04-01 USD,4.50% BD REDEEM 01/04/2056 USD 200000,72.998,6.581586,6.476017,4.5,Government,2056-04-01,Panama,Y,USD,2020-04-01T00:00:00Z,2025-09-25T00:00:00Z,Active
PAL63444A5A0,PANAMA 5.20% 2034-07-05 USD,5.20% BD REDEEM 05/07/2034 USD 100000,92.333,6.351375,6.254369,5.2,Government,2034-07-05,Panama,,USD,2022-07-05T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299AD63,PANAMA 8.88% 2027-09-30 USD,8.875% BD REDCONV 30/09/2027 USD 1000 - Ser A,108.4,4.466281,4.421289,8.875,Government,2027-09-30,Panama,N,USD,1997-09-26T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299AK07,PANAMA 9.38% 2029-04-01 USD,9.375% BD REDCONV 01/04/2029 USD 1000,113.989,4.988141,4.92886,9.375,Government,2029-04-01,Panama,N,USD,1999-03-31T00:00:00Z,2025-09-25T00:00:00Z,Active
PAL634445VA7,PANAMA 2.85% 2027-06-27 USD,2.85% BD REDEEM 27/06/2027 USD - Ser A,94.695,6.078419,5.999186,2.85,Government,2027-06-27,Panama,N,USD,2019-12-27T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299AV61,PANAMA 7.13% 2026-01-29 USD,7.125% BD REDEEM 29/01/2026 USD 1000,100.77,4.817774,4.753321,7.125,Government,2026-01-29,Panama,N,USD,2005-11-29T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299AT16,PANAMA 8.13% 2034-04-28 USD,8.125% BD REDCONV 28/04/2034 USD 1000,111.686,6.338607,6.242696,8.125,Government,2034-04-28,Panama,N,USD,2004-01-28T00:00:00Z,2025-09-25T00:00:00Z,Active
PAL63444B5A9,PANAMA 6.38% 2033-07-25 USD,6.375% BD REDEEM 25/07/2033 USD 1000,101.703,6.096589,6.00777,6.375,Government,2033-07-25,Panama,N,USD,2023-07-25T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BX19,PANAMA 7.50% 2031-03-01 USD,7.50% BD REDEEM 01/03/2031 USD 200000,110.021,5.349132,5.282594,7.5,Government,2031-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BZ66,PANAMA 7.88% 2057-03-01 USD,7.875% BD REDEEM 01/03/2057 USD 200000,112.289,6.910087,6.794034,7.875,Government,2057-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BK97,PANAMA 3.16% 2030-01-23 USD,3.16% BD REDEEM 23/01/2030 USD 200000,92.969,4.985234,4.923414,3.16,Government,2030-01-23,Panama,Y,USD,2019-07-23T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BR41,PANAMA 3.30% 2033-01-19 USD,3.298% NT REDEEM 19/01/2033 USD 200000,86.397,5.587717,5.510154,3.298,Government,2033-01-19,Panama,Y,USD,2022-01-19T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BV52,PANAMA 6.85% 2054-03-28 USD,6.853% BD REDEEM 28/03/2054 USD 200000,101.178,6.759201,6.648763,6.853,Government,2054-03-28,Panama,Y,USD,2023-03-28T00:00:00Z,2025-09-25T00:00:00Z,Active
PAL634445WA5,PANAMA 3.00% 2029-12-27 USD,3% BD REDEEM 27/12/2029 USD - Ser A,87.687,6.345281,6.248208,3.0,Government,2029-12-27,Panama,,USD,2019-12-27T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BN37,PANAMA 2.25% 2032-09-29 USD,2.252% BD REDEEM 29/09/2032 USD 200000,81.109,5.540228,5.46473,2.252,Government,2032-09-29,Panama,Y,USD,2020-09-29T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BB98,PANAMA 4.30% 2053-04-29 USD,4.30% BD REDEEM 29/04/2053 USD 200000,72.82,6.451107,6.350187,4.3,Government,2053-04-29,Panama,Y,USD,2013-04-29T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BY91,PANAMA 8.00% 2038-03-01 USD,8% BD REDEEM 01/03/2038 USD 200000,113.839,6.233903,6.1396,8.0,Government,2038-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-09-25T00:00:00Z,Active
USP90603AP97,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD - Reg S,88.364,5.761914,5.683825,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BQ67,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD - 144A,88.364,5.761914,5.683825,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-09-25T00:00:00Z,Active
PAL634445XA3,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD 1000,88.362,5.762491,5.684387,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BL70,PANAMA 3.87% 2060-07-23 USD,3.87% BD REDEEM 23/07/2060 USD 200000,64.27,6.483226,6.380905,3.87,Government,2060-07-23,Panama,Y,USD,2019-07-23T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BW36,PANAMA 6.88% 2036-01-31 USD,6.875% BD REDEEM 31/01/2036 USD 200000,106.25,6.051989,5.960987,6.875,Government,2036-01-31,Panama,Y,USD,2023-10-04T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BG85,PANAMA 4.50% 2047-05-15 USD,4.50% BD REDEEM 15/05/2047 USD 200000,77.047,6.543083,6.439359,4.5,Government,2047-05-15,Panama,Y,USD,2017-05-15T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BT07,PANAMA 6.40% 2035-02-14 USD,6.40% BD REDEEM 14/02/2035 USD 200000,103.496,5.908208,5.821427,6.4,Government,2035-02-14,Panama,Y,USD,2022-11-21T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299AW45,PANAMA 6.70% 2036-01-26 USD,6.70% BD REDEEM 26/01/2036 USD 1000,105.504,5.921371,5.835865,6.7,Government,2036-01-26,Panama,N,USD,2006-01-26T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BH68,PANAMA 4.50% 2050-04-16 USD,4.50% BD REDEEM 16/04/2050 USD 200000,75.008,6.607425,6.501367,4.5,Government,2050-04-16,Panama,Y,USD,2018-04-16T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BS24,PANAMA 4.50% 2063-01-19 USD,4.50% BD REDEEM 19/01/2063 USD 200000,72.251,6.487611,6.385103,4.5,Government,2063-01-19,Panama,Y,USD,2022-01-19T00:00:00Z,2025-09-25T00:00:00Z,Active
US698299BE38,PANAMA 3.75% 2025-03-16 USD,3.75% BD REDEEM 16/03/2025 USD 200000,99.995,4.692787,4.706126,3.75,Government,2025-03-16,Panama,Y,USD,2015-03-16T00:00:00Z,2025-03-14T00:00:00Z,Inactive
