ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
DO1005207415,DRGB 11.38% 2040-01-06 DOP,11.375% BD REDEEM 06/01/2040 DOP 100000,113.443,9.62083,9.396146,11.375,Government,2040-01-06,Dominican Republic,,DOP,2020-03-06T00:00:00Z,2025-09-18T00:00:00Z,Active
DO1005206011,DRGB 12.00% 2032-03-05 DOP,12% BD REDEEM 05/03/2032 DOP 100000,112.963,9.285302,9.080681,12.0,Government,2032-03-05,Dominican Republic,N,DOP,2017-03-05T00:00:00Z,2025-09-18T00:00:00Z,Active
DO1005207316,DRGB 10.88% 2035-01-05 DOP,10.875% BD REDEEM 05/01/2035 DOP 1000,105.348,9.973608,9.731716,10.875,Government,2035-01-05,Dominican Republic,N,DOP,2020-01-05T00:00:00Z,2025-09-18T00:00:00Z,Active
DO1005212019,DRGB 13.63% 2034-02-10 DOP,13.625% BD REDEEM 10/02/2034 DOP 100000,120.375,9.978331,9.734361,13.625,Government,2034-02-10,Dominican Republic,,DOP,2023-02-10T00:00:00Z,2025-09-18T00:00:00Z,Active
XS2587319729,DRGB 13.63% 2034-02-10 USD,13.625% DB REDEEM 10/02/2034 USD 1000,120.375,9.978352,9.73438,13.625,Government,2034-02-10,Dominican Republic,,USD,2023-02-07T00:00:00Z,2025-09-18T00:00:00Z,Active
DO1005210922,DRGB 13.00% 2034-06-09 DOP,13% BD REDEEM 09/06/2034 DOP 100000,120.232,9.528731,9.309685,13.0,Government,2034-06-09,Dominican Republic,,DOP,2022-06-10T00:00:00Z,2025-09-18T00:00:00Z,Active
XS2490821126,DRGB 13.00% 2034-06-09 DOP,13% BD REDEEM 09/06/2034 DOP 1000 - Reg S,120.232,9.528751,9.309704,13.0,Government,2034-06-09,Dominican Republic,,DOP,2022-06-10T00:00:00Z,2025-09-18T00:00:00Z,Active
US25714PEW41,DRGB 11.25% 2035-09-15 DOP,11.25% BD REDEEM 15/09/2035 DOP 8000000 - 144A,111.722,9.413599,9.201254,11.25,Government,2035-09-15,Dominican Republic,Y,DOP,2023-09-15T00:00:00Z,2025-09-18T00:00:00Z,Active
USP3579ECS48,DRGB 11.25% 2035-09-15 DOP,11.25% BD REDEEM 15/09/2035 DOP 8000000 - Reg S,111.722,9.413599,9.201254,11.25,Government,2035-09-15,Dominican Republic,Y,DOP,2023-09-15T00:00:00Z,2025-09-18T00:00:00Z,Active
DO1005208728,DRGB 8.00% 2028-11-06 DOP,8% BD REDEEM 06/11/2028 DOP 100000,96.26,9.581241,9.358745,8.0,Government,2028-11-06,Dominican Republic,N,DOP,2021-11-06T00:00:00Z,2025-09-18T00:00:00Z,Active
DO1005206516,DRGB 10.75% 2028-08-11 DOP,10.75% BD REDEEM 11/08/2028 DOP 100000,102.882,9.568575,9.346312,10.75,Government,2028-08-11,Dominican Republic,N,DOP,2018-08-10T00:00:00Z,2025-09-18T00:00:00Z,Active
XS1865319815,DRGB 10.75% 2028-08-11 DOP,10.75% BD REDEEM 11/08/2028 DOP 100000 - Bearer,102.882,9.56879,9.346517,10.75,Government,2028-08-11,Dominican Republic,,DOP,2018-08-10T00:00:00Z,2025-09-18T00:00:00Z,Active
DO1002227721,DRGB 9.00% 2026-12-11 DOP,9% BD REDEEM 11/12/2026 DOP 10000,98.296,10.490979,10.22691,9.0,Government,2026-12-11,Dominican Republic,,DOP,,2025-09-18T00:00:00Z,Active
DO1005211227,DRGB 12.75% 2029-09-23 DOP,13% BD REDEEM 10/01/2034 DOP 100000,109.492,9.828333,9.596567,12.75,Government,2029-09-23,Dominican Republic,,DOP,2022-09-23T00:00:00Z,2025-09-18T00:00:00Z,Active
