ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date,Regulation
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,134.65,3.122812,3.099768,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,8.664,Unspecified
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,111.692,4.422909,4.374521,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,8.161,Unspecified
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,102.275,6.782099,6.669854,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,18.525,Reg S
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,102.275,6.782099,6.669854,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,18.525,144A
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,89.76,6.612567,6.506819,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,17.597,Reg S
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,89.76,6.612567,6.506819,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,17.597,144A
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,102.913,5.391446,5.316634,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,5.4,Reg S
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,102.913,5.391446,5.316634,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,5.4,144A
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,104.338,5.799971,5.717594,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,8.522,Reg S
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,104.338,5.799971,5.717594,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,8.522,144A
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,108.213,4.893195,4.834294,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,5.158,144A
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,103.391,6.840451,6.726903,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,19.464,Reg S
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,103.391,6.840451,6.726903,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,19.464,144A
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,112.551,5.282703,5.209287,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,3.406,Unspecified
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,112.548,5.283639,5.210198,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,3.406,Unspecified
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,112.548,5.283639,5.210198,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,3.406,144A
USP3699PGN17,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 200000 - Reg S,103.78,6.988571,6.869476,7.3,Government,2054-11-13,Costa Rica,Y,USD,2023-11-13T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,29.133,Reg S
US221597CV77,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 1000 - 144A,103.78,6.988571,6.869476,7.3,Government,2054-11-13,Costa Rica,NA,USD,2023-11-13T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,29.133,144A
US283875AH54,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - 144A,102.306,7.797739,7.65038,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,6.542,144A
XS0146173371,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - Reg S,102.306,7.797739,7.65038,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-08-01,6.542,Reg S
