ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,113.141,4.873675,4.809479,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-10-22T00:00:00Z,Active
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,113.141,4.873675,4.809479,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-10-22T00:00:00Z,Active
USP3699PGN17,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 200000 - Reg S,111.5,6.405533,6.305027,7.3,Government,2054-11-13,Costa Rica,Y,USD,2023-11-13T00:00:00Z,2025-10-22T00:00:00Z,Active
US221597CV77,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 1000 - 144A,111.5,6.405533,6.305027,7.3,Government,2054-11-13,Costa Rica,NA,USD,2023-11-13T00:00:00Z,2025-10-22T00:00:00Z,Active
CRG0000B60I7,CRTP 11.60% 2027-02-24 CRC,11.60% BD REDEEM 24/02/2027 CRC 50000,107.365,5.779007,5.685484,11.6,Government,2027-02-24,Costa Rica,NA,CRC,2019-02-24T00:00:00Z,2025-10-22T00:00:00Z,Active
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,107.935,5.174378,5.108224,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-10-22T00:00:00Z,Active
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,107.935,5.174378,5.108224,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-10-22T00:00:00Z,Active
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,94.81,6.11146,6.020786,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-10-22T00:00:00Z,Active
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,94.81,6.11146,6.020786,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-10-22T00:00:00Z,Active
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,112.077,5.340314,5.269654,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-10-22T00:00:00Z,Active
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,135.713,4.037182,3.99808,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-10-22T00:00:00Z,Active
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,110.827,6.337266,6.231502,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-10-22T00:00:00Z,Active
CRG0000B05J0,CRTP 4.25% 2027-08-25 CRC,4.25% BD REDEEM 25/08/2027 CRC,99.143,5.491977,5.422555,4.25,Government,2027-08-25,Costa Rica,NA,CRC,2021-08-25T00:00:00Z,2025-10-22T00:00:00Z,Active
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,109.792,6.276919,6.180925,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-10-22T00:00:00Z,Active
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,109.792,6.276919,6.180925,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-10-22T00:00:00Z,Active
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,108.318,6.234503,6.139196,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-10-22T00:00:00Z,Active
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,108.318,6.234503,6.139196,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-10-22T00:00:00Z,Active
