ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
USP5178RAC27,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - Reg S,100.269,6.008443,5.912047,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-10-30T00:00:00Z,Active
US438180AH47,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - 144A,100.269,6.008443,5.912047,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-10-30T00:00:00Z,Active
US438180AJ03,HONDUR 5.63% 2030-06-24 USD,5.625% NT REDEEM 24/06/2030 USD 150000 - 144A,97.833,6.165843,6.073958,5.625,Government,2030-06-24,Honduras,Y,USD,2020-06-24T00:00:00Z,2025-10-30T00:00:00Z,Active
DO1005207217,DRGB 10.38% 2030-01-11 DOP,10.375% BD REDEEM 11/01/2030 DOP 1000,104.086,9.171825,8.965582,10.375,Government,2030-01-11,Dominican Republic,N,DOP,2020-01-11T00:00:00Z,2025-10-30T00:00:00Z,Active
DO1005208629,DRGB 8.63% 2031-11-06 DOP,8.625% BD REDEEM 06/11/2031 DOP 100000,97.016,9.315802,9.108446,8.625,Government,2031-11-06,Dominican Republic,N,DOP,2021-11-06T00:00:00Z,2025-10-30T00:00:00Z,Active
DO1005207027,DRGB 10.75% 2029-11-08 DOP,10.75% BD REDEEM 08/11/2029 DOP 100000,105.274,9.151628,8.949831,10.75,Government,2029-11-08,Dominican Republic,N,DOP,2019-11-08T00:00:00Z,2025-10-30T00:00:00Z,Active
US25714WBH51,DRGB 10.75% 2029-11-08 DOP,10.75% BD REDEEM 08/11/2029 USD - 144A,105.274,9.151641,8.949843,10.75,Government,2029-11-08,Dominican Republic,NA,DOP,2019-11-08T00:00:00Z,2025-10-30T00:00:00Z,Active
XS2079033028,DRGB 10.75% 2029-11-08 DOP,10.75% BD REDEEM 08/11/2029 DOP 100000 - Reg S,105.274,9.151641,8.949843,10.75,Government,2029-11-08,Dominican Republic,NA,DOP,2019-11-08T00:00:00Z,2025-10-30T00:00:00Z,Active
DO1005206011,DRGB 12.00% 2032-03-05 DOP,12% BD REDEEM 05/03/2032 DOP 100000,112.132,9.411006,9.198911,12,Government,2032-03-05,Dominican Republic,N,DOP,2017-03-05T00:00:00Z,2025-10-30T00:00:00Z,Active
DO1005206516,DRGB 10.75% 2028-08-11 DOP,10.75% BD REDEEM 11/08/2028 DOP 100000,103.893,9.111287,8.912592,10.75,Government,2028-08-11,Dominican Republic,N,DOP,2018-08-10T00:00:00Z,2025-10-30T00:00:00Z,Active
